"SKU*","Parent SKU","Name","Subtitle","Brand","Active","Approved","Virtual","RRP","Cost Price","Price (Default)","Default Purchase Price","Tax Free Item","Description","Category","UPC/EAN","UPC/EAN 1","UPC/EAN 2","UPC/EAN 3","Height (Shipping)","Cubic (Shipping)","Width (Shipping)","Selling Unit of Measure","SEO Meta Keywords","Length (Shipping)","Weight (shipping)","Shipping Category","SEO Meta Description","SEO Page Title","Specific Type 1","Specific Value 1","Specific Type 2","Specific Value 2","Custom Label/Code","Split for Warehouse Picking","Handling Time (days)","Kit Components","pdf2","Pick Zone","Upsell Products","Editable Kits","Sort Order 2","Sort Order 1","Promotion Price","Supplier Product Name","Enquire Now","Tax Inclusive","Bullet points","Specific Type 3","Tax Category","pdf3","Promotion Start Date","Service Item","Incoming Qty","Lead Time","Promotion Expiry Date","Preorder Qty","Date Added","Short Description","Primary Supplier","Supplier Item Code","Date Of Arrival","Youtube Video ID","Promotion ID","Display Template","Price (A)","Specific Value 3","Price (B)","Price (C)","Price (D)","Price (E)","Price (F)","ePID for eBay United States","ePID for eBay Canada (English)","ePID for eBay UK","ePID for eBay Australia","ePID for eBay Germany","Qty In Stock (DE Water Products)"
"1184_6875","FVSSD","Foot Valve - 316 Stainless Steel - Flanged Table D [Size - please check product sizing before ordering: 600mm]","","Foot Valve ","y","y","n","0.00","0.00000000","20955.00","0.00000000","n","","Industrial Valves;Industrial Valves > Foot Valves","","","","","0.000","0.000000000","0.000","","","0.000","0.0000","0","","Foot Valve - 316 Stainless Steel - Flanged Table D [Size - please check product sizing before orderi","Size - please check product sizing before ordering","600mm","","","","n","","","","","","n","0","0","","","n","y","","","","","0000-00-00 00:00:00","n","0","10 weeks","0000-00-00 00:00:00","0","2024-10-04 00:00:00","","","","0000-00-00","","","","20955.00","","","","","","","","","","","",""
"147XU-040","WCBSCV150LB","Swing Check Valve - WCB - Flanged ANSI 150LB","","Swing Check Valve ","y","y","n","0.00","0.00000000","1214.00","0.00000000","n","","Industrial Valves;Industrial Valves > Check Valves > Swing Check Valves","","","","","0.000","0.000000000","0.000","","","0.000","0.0000","0","","","Size - please check product sizing before ordering","100mm DN100 (4"") Nominal Bore sizing","","","","n","","","","","","n","0","0","","","y","n","<ul><li>Size From: 100mm</li><li>Body: WCB/Stellite</li><li>Pressure Range: 0 - 20 BAR</li></ul>","","","","0000-00-00 00:00:00","n","0","1 to 7 days","0000-00-00 00:00:00","0","2018-09-10 00:00:00","Body material; WCB Cast Steel, Seat; Stellite","","","0000-00-00","","","","1214.00","","","","","","","","","","","","0"
"147XU_150","WCBSCV150LB","Swing Check Valve - WCB - Flanged ANSI 150LB [size: 150mm]","","Swing Check Valve - WCB - Flanged ANSI 150LB","y","y","n","0.00","0.00000000","1945.00","0.00000000","n","","Industrial Valves > Check Valves > Swing Check Valves","","","","","0.000","0.000000000","0.000","","","0.000","0.0000","0","","Swing Check Valve - WCB - Flanged ANSI 150LB [size: 150mm]","Size - please check product sizing before ordering","150mm","","","","n","","","","","","n","0","0","","","n","y","","","","","0000-00-00 00:00:00","n","0","1 to 7 days","0000-00-00 00:00:00","0","2019-02-26 00:00:00","","","","0000-00-00","","","","1945.00","","","","","","","","","","","",""
"147XU_200","WCBSCV150LB","Swing Check Valve - WCB - Flanged ANSI 150LB [size: 200mm]","","Swing Check Valve - WCB - Flanged ANSI 150LB","y","y","n","0.00","0.00000000","2747.00","0.00000000","n","","Industrial Valves > Check Valves > Swing Check Valves","","","","","0.000","0.000000000","0.000","","","0.000","0.0000","0","","Swing Check Valve - WCB - Flanged ANSI 150LB [size: 200mm]","Size - please check product sizing before ordering","200mm","","","","n","","","","","","n","0","0","","","n","y","","","","","0000-00-00 00:00:00","n","0","1 to 7 days","0000-00-00 00:00:00","0","2019-02-26 00:00:00","","","","0000-00-00","","","","2747.00","","","","","","","","","","","",""
"147XU_250","WCBSCV150LB","Swing Check Valve - WCB - Flanged ANSI 150LB [size: 250mm]","","Swing Check Valve - WCB - Flanged ANSI 150LB","y","y","n","0.00","0.00000000","4737.00","0.00000000","n","","Industrial Valves > Check Valves > Swing Check Valves","","","","","0.000","0.000000000","0.000","","","0.000","0.0000","0","","Swing Check Valve - WCB - Flanged ANSI 150LB [size: 250mm]","Size - please check product sizing before ordering","250mm","","","","n","","","","","","n","0","0","","","n","y","","","","","0000-00-00 00:00:00","n","0","5 to 7 days","0000-00-00 00:00:00","0","2019-02-26 00:00:00","","","","0000-00-00","","","","4737.00","","","","","","","","","","","",""
"147XU_300","WCBSCV150LB","Swing Check Valve - WCB - Flanged ANSI 150LB [size: 300mm]","","Swing Check Valve - WCB - Flanged ANSI 150LB","y","y","n","0.00","0.00000000","5888.00","0.00000000","n","","Industrial Valves > Check Valves > Swing Check Valves","","","","","0.000","0.000000000","0.000","","","0.000","0.0000","0","","Swing Check Valve - WCB - Flanged ANSI 150LB [size: 300mm]","Size - please check product sizing before ordering","300mm","","","","n","","","","","","n","0","0","","","n","y","","","","","0000-00-00 00:00:00","n","0","5 to 7 days","0000-00-00 00:00:00","0","2019-02-26 00:00:00","","","","0000-00-00","","","","5888.00","","","","","","","","","","","",""
"147XU_50","WCBSCV150LB","Swing Check Valve - WCB - Flanged ANSI 150LB [size: 50mm]","","Swing Check Valve - WCB - Flanged ANSI 150LB","y","y","n","0.00","0.00000000","542.00","0.00000000","n","","Industrial Valves > Check Valves > Swing Check Valves","","","","","0.000","0.000000000","0.000","","","0.000","0.0000","0","","Swing Check Valve - WCB - Flanged ANSI 150LB [size: 50mm]","Size - please check product sizing before ordering","50mm DN50 (2"") Nominal Bore sizing","","","","n","","","","","","n","0","0","","","n","y","","","","","0000-00-00 00:00:00","n","0","1 to 7 days","0000-00-00 00:00:00","0","2019-02-26 00:00:00","","","","0000-00-00","","","","542.00","","","","","","","","","","","",""
"147XU_65","WCBSCV150LB","Swing Check Valve - WCB - Flanged ANSI 150LB [size: 65mm]","","Swing Check Valve - WCB - Flanged ANSI 150LB","y","y","n","0.00","0.00000000","587.00","0.00000000","n","","Industrial Valves > Check Valves > Swing Check Valves","","","","","0.000","0.000000000","0.000","","","0.000","0.0000","0","","Swing Check Valve - WCB - Flanged ANSI 150LB [size: 65mm]","Size - please check product sizing before ordering","65mm","","","","n","","","","","","n","0","0","","","n","y","","","","","0000-00-00 00:00:00","n","0","1 to 7 days","0000-00-00 00:00:00","0","2019-02-26 00:00:00","","","","0000-00-00","","","","587.00","","","","","","","","","","","",""
"147XU_80","WCBSCV150LB","Swing Check Valve - WCB - Flanged ANSI 150LB [size: 80mm]","","Swing Check Valve - WCB - Flanged ANSI 150LB","y","y","n","0.00","0.00000000","950.00","0.00000000","n","","Industrial Valves > Check Valves > Swing Check Valves","","","","","0.000","0.000000000","0.000","","","0.000","0.0000","0","","Swing Check Valve - WCB - Flanged ANSI 150LB [size: 80mm]","Size - please check product sizing before ordering","80mm DN80 (3"") Nominal Bore sizing","","","","n","","","","","","n","0","0","","","n","y","","","","","0000-00-00 00:00:00","n","0","1 to 7 days","0000-00-00 00:00:00","0","2019-02-26 00:00:00","","","","0000-00-00","","","","950.00","","","","","","","","","","","",""
"159XU-040","WCBSCV300LB","Swing Check Valve - WCB - Flanged ANSI 300LB","","Swing Check Valve - WCB - Flanged ANSI 300LB","y","y","n","0.00","0.00000000","1280.00","0.00000000","n","","Industrial Valves;Industrial Valves > Check Valves > Swing Check Valves","","","","","0.000","0.000000000","0.000","","","0.000","0.0000","0","","Swing Check Valve - WCB - Flanged ANSI 300LB","Size - please check product sizing before ordering","100mm DN100 (4"") Nominal Bore sizing","","","","n","","","","","","n","0","0","","","n","n","<ul><li>Size From: 100mm</li><li>Body: WCB/Stellite</li><li>Pressure Range: 0 - 50 BAR</li></ul>","","","","0000-00-00 00:00:00","n","0","1 to 7 days","0000-00-00 00:00:00","0","2018-09-10 00:00:00","Body material; WCB Cast Steel, Seat; Stellite","","","0000-00-00","","","","1280.00","","","","","","","","","","","","0"
"159XU_50","WCBSCV300LB","Swing Check Valve - WCB - Flanged ANSI 300LB [size: 50mm]","","Swing Check Valve - WCB - Flanged ANSI 300LB","y","y","n","0.00","0.00000000","643.00","0.00000000","n","","Industrial Valves > Check Valves > Swing Check Valves","","","","","0.000","0.000000000","0.000","","","0.000","0.0000","0","","Swing Check Valve - WCB - Flanged ANSI 300LB [size: 50mm]","Size - please check product sizing before ordering","50mm DN50 (2"") Nominal Bore sizing","","","","n","","","","","","n","0","0","","","n","y","","","","","0000-00-00 00:00:00","n","0","1 to 7 days","0000-00-00 00:00:00","0","2019-02-26 00:00:00","","","","0000-00-00","","","","643.00","","","","","","","","","","","",""
"159XU_80","WCBSCV300LB","Swing Check Valve - WCB - Flanged ANSI 300LB [size: 80mm]","","Swing Check Valve - WCB - Flanged ANSI 300LB","y","y","n","0.00","0.00000000","1104.00","0.00000000","n","","Industrial Valves > Check Valves > Swing Check Valves","","","","","0.000","0.000000000","0.000","","","0.000","0.0000","0","","Swing Check Valve - WCB - Flanged ANSI 300LB [size: 80mm]","Size - please check product sizing before ordering","80mm DN80 (3"") Nominal Bore sizing","","","","n","","","","","","n","0","0","","","n","y","","","","","0000-00-00 00:00:00","n","0","1 to 7 days","0000-00-00 00:00:00","0","2019-02-26 00:00:00","","","","0000-00-00","","","","1104.00","","","","","","","","","","","",""
"3629_3630","DPCVWCB10","Dual Plate Check Valve - WCB/316/VITON ANSI 150LB","","Dual Plate Check Valve - WCB/316/VITON ANSI 150LB","y","y","n","0.00","0.00000000","159.00","0.00000000","n","","Industrial Valves","","","","","0.000","0.000000000","0.000","","","0.000","0.0000","0","","Dual Plate Check Valve - WCB/316/VITON ANSI 150LB","","","","","","n","","","","","","n","0","0","","","n","y","","","","","0000-00-00 00:00:00","n","0","","0000-00-00 00:00:00","0","2019-01-08 17:33:48","","","","0000-00-00","","","","159.00","","","","","","","","","","","","5"
"4844","","Demo Test","","","n","y","y","0.00","0.00000000","1.00","0.00000000","n","<p>test order&nbsp;</p>
","","","","","","0.000","0.000000000","0.000","","","0.000","0.0000","0","","Demo Test","","","","","","n","","","","","","n","0","0","","","n","n","","","","","0000-00-00 00:00:00","n","0","","0000-00-00 00:00:00","0","2019-01-24 00:00:00","","","","0000-00-00","","","","1.00","","","","","","","","","","","","0"
"4963_5095","QAREJ","Quadruple Arch Rubber Expansion Joint [Size - please check product sizing before ordering: 50mm DN50 (2"") Nominal Bore sizing]","","Quadruple Arch Rubber Expansion Joint","y","y","n","0.00","0.00000000","1484.00","0.00000000","n","","Expansion Joints  > Quadruple Arch Rubber Expansion Joint","","","","","0.000","0.000000000","0.000","","","0.000","0.0000","0","","Quadruple Arch Rubber Expansion Joint [Size - please check product sizing before ordering: 50mm DN50","Size - please check product sizing before ordering","50mm DN50 (2"") Nominal Bore sizing","","","","n","","","","","","n","0","0","","","n","y","","","","","0000-00-00 00:00:00","n","0","5 weeks","0000-00-00 00:00:00","0","2022-06-06 00:00:00","","","","0000-00-00","","","","1484.00","","","","","","","","","","","",""
"4999_5004","GVCF8MTE","Gate Valve - CF8M 316SS - Table E [Size - please check product sizing before ordering: 125mm]","","Gate Valve - CF8M 316SS - ANSI 150LB","n","n","n","0.00","0.00000000","913.00","0.00000000","n","","Industrial Valves > Gate Valves","","","","","0.000","0.000000000","0.000","","","0.000","0.0000","0","","Gate Valve - CF8M 316SS - ANSI 150LB [size: 125mm]","Size - please check product sizing before ordering","125mm","","","","n","0","","","","","n","0","0","","","n","y","","","","","0000-00-00 00:00:00","n","0","5 to 7 days","0000-00-00 00:00:00","0","2021-03-19 15:39:50","","","","0000-00-00","","","","913.00","","","","","","","","","","","",""
"4999_5006","GVCF8MTE","Gate Valve - CF8M 316SS - Table E [Size - please check product sizing before ordering: 200mm]","","Gate Valve - CF8M 316SS - ANSI 150LB","n","n","n","0.00","0.00000000","913.00","0.00000000","n","","Industrial Valves > Gate Valves","","","","","0.000","0.000000000","0.000","","","0.000","0.0000","0","","Gate Valve - CF8M 316SS - ANSI 150LB [size: 200mm]","Size - please check product sizing before ordering","200mm","","","","n","0","","","","","n","0","0","","","n","y","","","","","0000-00-00 00:00:00","n","0","5 to 7 days","0000-00-00 00:00:00","0","2021-03-19 15:39:55","","","","0000-00-00","","","","913.00","","","","","","","","","","","",""
"4999_5007","GVCF8MTE","Gate Valve - CF8M 316SS - Table E [Size - please check product sizing before ordering: 250mm]","","Gate Valve - CF8M 316SS - ANSI 150LB","n","n","n","0.00","0.00000000","913.00","0.00000000","n","","Industrial Valves > Gate Valves","","","","","0.000","0.000000000","0.000","","","0.000","0.0000","0","","Gate Valve - WCB - ANSI 150LB [size: 250mm]","Size - please check product sizing before ordering","250mm","","","","n","0","","","","","n","0","0","","","n","y","","","","","0000-00-00 00:00:00","n","0","1 day","0000-00-00 00:00:00","0","2021-03-19 15:39:58","","","","0000-00-00","","","","913.00","","","","","","","","","","","",""
"4999_5008","GVCF8MTE","Gate Valve - CF8M 316SS - Table E [Size - please check product sizing before ordering: 300mm]","","Gate Valve - CF8M 316SS - ANSI 150LB","n","n","n","0.00","0.00000000","913.00","0.00000000","n","","Industrial Valves > Gate Valves","","","","","0.000","0.000000000","0.000","","","0.000","0.0000","0","","Gate Valve - WCB - ANSI 150LB [size: 300mm]","Size - please check product sizing before ordering","300mm","","","","n","0","","","","","n","0","0","","","n","y","","","","","0000-00-00 00:00:00","n","0","1 day","0000-00-00 00:00:00","0","2021-03-19 15:40:01","","","","0000-00-00","","","","913.00","","","","","","","","","","","",""
"5028_5029","BCV316TE","Ball Check Valve - Stainless Steel 316 - Flanged Table E [Size - please check product sizing before ordering: 50mm DN50 (2"") Nominal Bore sizing]","","Ball Check Valve - 316ss - Table E flanged","y","y","n","0.00","0.00000000","1334.00","0.00000000","n","","Industrial Valves;Industrial Valves > Check Valves > Ball Valves","","","","","0.000","0.000000000","0.000","","","0.000","0.0000","0","","","Size - please check product sizing before ordering","50mm DN50 (2"") Nominal Bore sizing","","","","n","0","","","","","n","0","0","","","n","n","<ul><li>Size From: 50mm</li><li>Body: 316ss/CF8M</li><li>Pressure Range: 0-16 BAR</li></ul>","","","","0000-00-00 00:00:00","n","0","7 to 8 weeks","0000-00-00 00:00:00","0","2021-04-07 00:00:00","Body material; CF8M 316 stainless steel, Ball Material; Viton","","","0000-00-00","","","","1334.00","","","","","","","","","","","",""
"5028_5030","BCV316TE","Ball Check Valve - Stainless Steel 316 - Flanged Table E [Size - please check product sizing before ordering: 65mm]","","Ball Check Valve - 316ss - Table E flanged","y","y","n","0.00","0.00000000","2088.00","0.00000000","n","","Industrial Valves;Industrial Valves > Check Valves > Ball Valves","","","","","0.000","0.000000000","0.000","","","0.000","0.0000","0","","","Size - please check product sizing before ordering","65mm","","","","n","0","","","","","n","0","0","","","n","n","<ul><li>Size From: 50mm</li><li>Body: 316ss/CF8M</li><li>Pressure Range: 0-16 BAR</li></ul>","","","","0000-00-00 00:00:00","n","0","7 to 8 weeks","0000-00-00 00:00:00","0","2021-04-07 00:00:00","Body material; CF8M/316 stainless steel, Ball Material; Viton","","","0000-00-00","","","","2088.00","","","","","","","","","","","",""
"5028_5031","BCV316TE","Ball Check Valve - Stainless Steel 316 - Flanged Table E [Size - please check product sizing before ordering: 80mm DN80 (3"") Nominal Bore sizing]","","Ball Check Valve - 316ss - Table E flanged","y","y","n","0.00","0.00000000","2537.00","0.00000000","n","","Industrial Valves;Industrial Valves > Check Valves > Ball Valves","","","","","0.000","0.000000000","0.000","","","0.000","0.0000","0","","","Size - please check product sizing before ordering","80mm DN80 (3"") Nominal Bore sizing","","","","n","0","","","","","n","0","0","","","n","n","<ul><li>Size From: 50mm</li><li>Body: 316ss/CF8M</li><li>Pressure Range: 0-16 BAR</li></ul>","","","","0000-00-00 00:00:00","n","0","7 to 8 weeks","0000-00-00 00:00:00","0","2021-04-07 00:00:00","Body material; CF8M/316 stainless steel, Ball Material; Viton","","","0000-00-00","","","","2537.00","","","","","","","","","","","",""
"5028_5032","BCV316TE","Ball Check Valve - Stainless Steel 316 - Flanged Table E [Size - please check product sizing before ordering: 100mm DN100 (4"") Nominal Bore sizing]","","Ball Check Valve - 316ss - Table E flanged","y","y","n","0.00","0.00000000","3483.00","0.00000000","n","","Industrial Valves;Industrial Valves > Check Valves > Ball Valves","","","","","0.000","0.000000000","0.000","","","0.000","0.0000","0","","","Size - please check product sizing before ordering","100mm DN100 (4"") Nominal Bore sizing","","","","n","0","","","","","n","0","0","","","n","n","<ul><li>Size From: 50mm</li><li>Body: 316ss/CF8M</li><li>Pressure Range: 0-16 BAR</li></ul>","","","","0000-00-00 00:00:00","n","0","7 to 8 weeks","0000-00-00 00:00:00","0","2021-04-07 00:00:00","Body material; CF8M/ 316 stainless steel, Ball Material; Viton","","","0000-00-00","","","","3483.00","","","","","","","","","","","",""
"5028_5033","BCV316TE","Ball Check Valve - Stainless Steel 316 - Flanged Table E [Size - please check product sizing before ordering: 125mm]","","Ball Check Valve - 316ss - Table E flanged","y","y","n","0.00","0.00000000","4995.00","0.00000000","n","","Industrial Valves;Industrial Valves > Check Valves > Ball Valves","","","","","0.000","0.000000000","0.000","","","0.000","0.0000","0","","","Size - please check product sizing before ordering","125mm","","","","n","0","","","","","n","0","0","","","n","n","<ul><li>Size From: 50mm</li><li>Body: 316ss/CF8M</li><li>Pressure Range: 0-16 BAR</li></ul>","","","","0000-00-00 00:00:00","n","0","7 to 8 weeks","0000-00-00 00:00:00","0","2021-04-07 00:00:00","Body material; CF8M/316ss, Ball Material; Viton","","","0000-00-00","","","","4995.00","","","","","","","","","","","",""
"5028_5034","BCV316TE","Ball Check Valve - Stainless Steel 316 - Flanged Table E [Size - please check product sizing before ordering: 150mm]","","Ball Check Valve - 316ss - Table E flanged","y","y","n","0.00","0.00000000","6986.00","0.00000000","n","","Industrial Valves;Industrial Valves > Check Valves > Ball Valves","","","","","0.000","0.000000000","0.000","","","0.000","0.0000","0","","","Size - please check product sizing before ordering","150mm","","","","n","0","","","","","n","0","0","","","n","n","<ul><li>Size From: 50mm</li><li>Body: 316ss/CF8M</li><li>Pressure Range: 0-16 BAR</li></ul>","","","","0000-00-00 00:00:00","n","0","7 to 8 weeks","0000-00-00 00:00:00","0","2021-04-07 00:00:00","Body material; CF8M/ 316 stainless steel, Ball Material; Viton","","","0000-00-00","","","","6986.00","","","","","","","","","","","",""
"5028_5035","BCV316TE","Ball Check Valve - Stainless Steel 316 - Flanged Table E [Size - please check product sizing before ordering: 200mm]","","Ball Check Valve - 316ss - Table E flanged","y","y","n","0.00","0.00000000","7528.00","0.00000000","n","","Industrial Valves;Industrial Valves > Check Valves > Ball Valves","","","","","0.000","0.000000000","0.000","","","0.000","0.0000","0","","","Size - please check product sizing before ordering","200mm","","","","n","0","","","","","n","0","0","","","n","n","<ul><li>Size From: 50mm</li><li>Body: 316ss/CF8M</li><li>Pressure Range: 0-16 BAR</li></ul>","","","","0000-00-00 00:00:00","n","0","7 to 8 weeks","0000-00-00 00:00:00","0","2021-04-07 00:00:00","Body material; CF8M/316 stainless steel, Ball Material; Viton","","","0000-00-00","","","","7528.00","","","","","","","","","","","",""
"5028_5036","BCV316TE","Ball Check Valve - Stainless Steel 316 - Flanged Table E [Size - please check product sizing before ordering: 250mm]","","Ball Check Valve - 316ss - Table E flanged","y","y","n","0.00","0.00000000","16751.00","0.00000000","n","","Industrial Valves;Industrial Valves > Check Valves > Ball Valves","","","","","0.000","0.000000000","0.000","","","0.000","0.0000","0","","","Size - please check product sizing before ordering","250mm","","","","n","0","","","","","n","0","0","","","n","n","<ul><li>Size From: 50mm</li><li>Body: 316ss/CF8M</li><li>Pressure Range: 0-16 BAR</li></ul>","","","","0000-00-00 00:00:00","n","0","7 to 8 weeks","0000-00-00 00:00:00","0","2021-04-07 00:00:00","Body material; CF8M/ 316 stainless steel, Ball Material; Viton","","","0000-00-00","","","","16751.00","","","","","","","","","","","",""
"5028_5037","BCV316TE","Ball Check Valve - Stainless Steel 316 - Flanged Table E [Size - please check product sizing before ordering: 300mm]","","Ball Check Valve - 316ss - Table E flanged","y","y","n","0.00","0.00000000","21599.00","0.00000000","n","","Industrial Valves;Industrial Valves > Check Valves > Ball Valves","","","","","0.000","0.000000000","0.000","","","0.000","0.0000","0","","","Size - please check product sizing before ordering","300mm","","","","n","0","","","","","n","0","0","","","n","n","<ul><li>Size From: 50mm</li><li>Body: 316ss/CF8M</li><li>Pressure Range: 0-16 BAR</li></ul>","","","","0000-00-00 00:00:00","n","0","7 to 8 weeks","0000-00-00 00:00:00","0","2021-04-07 00:00:00","Body material; CF8M 316 stainless steel, Ball Material; Viton","","","0000-00-00","","","","21599.00","","","","","","","","","","","",""
"5040_5041","SBS316-TE","Simplex Basket Strainer 316 SS - Flanged Table E [Size - please check product sizing before ordering: 50mm DN50 (2"") Nominal Bore sizing]","","Simplex Basket Strainer 316 SS Flanged","y","y","n","0.00","0.00000000","1349.00","0.00000000","n","","Strainers;Strainers > Simplex Basket Strainer","","","","","0.000","0.000000000","0.000","","316 stainless steel basket strainer","0.000","0.0000","0","stainless steel basket strainer","Simplex Basket Strainer 316 SS - Flanged Table E","Size - please check product sizing before ordering","50mm DN50 (2"") Nominal Bore sizing","","","","n","0","","","","","n","0","0","","","n","n","<ul><li>Size From: 50mm</li><li>Body: 316ss</li><li>Pressure Range: 0-16 BAR</li><li>Mesh: 3mm</li></ul>","","","","0000-00-00 00:00:00","n","0","5 weeks","0000-00-00 00:00:00","0","2021-04-30 00:00:00","Body material; 316ss, Strainer material; 316SS; Mesh size 3mm","","","0000-00-00","","","","1349.00","","","","","","","","","","","","0"
"5040_5042","SBS316-TE","Simplex Basket Strainer 316 SS - Flanged Table E [Size - please check product sizing before ordering: 65mm]","","Simplex Basket Strainer 316 SS Flanged","y","y","n","0.00","0.00000000","2025.00","0.00000000","n","","Strainers;Strainers > Simplex Basket Strainer","","","","","0.000","0.000000000","0.000","","","0.000","0.0000","0","","Simplex Basket Strainer 316 SS - Flanged Table E","Size - please check product sizing before ordering","65mm","","","","n","0","","","","","n","0","0","","","n","n","<ul><li>Size From: 50mm</li><li>Body: CF8M/316SS</li><li>Pressure Range: 0-20 BAR</li><li>Mesh: 3mm</li></ul>","","","","0000-00-00 00:00:00","n","0","5 weeks","0000-00-00 00:00:00","0","2021-04-30 00:00:00","Body material; 316ss, Strainer material; 316SS; Mesh size 3mm","","","0000-00-00","","","","2025.00","","","","","","","","","","","",""
"5040_5043","SBS316-TE","Simplex Basket Strainer 316 SS - Flanged Table E [Size - please check product sizing before ordering: 80mm DN80 (3"") Nominal Bore sizing]","","Simplex Basket Strainer 316 SS Flanged","y","y","n","0.00","0.00000000","2599.00","0.00000000","n","","Strainers;Strainers > Simplex Basket Strainer","","","","","0.000","0.000000000","0.000","","","0.000","0.0000","0","","Simplex Basket Strainer 316 SS - Flanged Table E","Size - please check product sizing before ordering","80mm DN80 (3"") Nominal Bore sizing","","","","n","0","","","","","n","0","0","","","n","n","<ul><li>Size From: 50mm</li><li>Body: 316SS</li><li>Pressure Range: 0-16 BAR</li><li>Mesh: 3mm</li></ul>","","","","0000-00-00 00:00:00","n","0","5 weeks","0000-00-00 00:00:00","0","2021-04-30 00:00:00","Body material; 316ss, Strainer material; 316SS; Mesh size 3mm","","","0000-00-00","","","","2599.00","","","","","","","","","","","",""
"5040_5044","SBS316-TE","Simplex Basket Strainer 316 SS - Flanged Table E [Size - please check product sizing before ordering: 100mm DN100 (4"") Nominal Bore sizing]","","Simplex Basket Strainer 316 SS Flanged","y","y","n","0.00","0.00000000","4049.00","0.00000000","n","","Strainers;Strainers > Simplex Basket Strainer","","","","","0.000","0.000000000","0.000","","","0.000","0.0000","0","","Simplex Basket Strainer 316 SS - Flanged Table E","Size - please check product sizing before ordering","100mm DN100 (4"") Nominal Bore sizing","","","","n","0","","","","","n","0","0","","","n","n","<ul><li>Size From: 50mm</li><li>Body: 316SS</li><li>Pressure Range: 0-16 BAR</li><li>Mesh: 3mm</li></ul>","","","","0000-00-00 00:00:00","n","0","5 weeks","0000-00-00 00:00:00","0","2021-04-30 00:00:00","Body material; 316ss, Strainer material; 316SS; Mesh size 3mm","","","0000-00-00","","","","4049.00","","","","","","","","","","","",""
