Video ID,Title,Size,Product Match,URL
"j81Igi4y8pE","Flex Grip 2P Long model by Orbit Couplings. 114.3mm EPDM/316 Stainless steel, PN40 rated. Pipe clamp","114.3mm","Flex Grip 2P Long (FlexGrip2PLong)","https://www.youtube.com/watch?v=j81Igi4y8pE"
"ZzbJpJhqVNo","88.9mm Encapsulating Pipe Repair Clamp - D Series - Orbit Couplings Australia - 87.0mm to 219.1mm.","88.9mm","Encapsulating Pipe Repair Clamp (ENCAPRC-SS)","https://www.youtube.com/watch?v=ZzbJpJhqVNo"
"4AQPvRwlbiY","630.0mm Open Flex 300-L by Orbit Couplings in Australia. Suit pipe OD size 630.0mm, and 300mm long.","630.0mm","Open Flex 300-L (OCOF300-L)","https://www.youtube.com/watch?v=4AQPvRwlbiY"
"-Oc5JZAjJH0","560.0mm Orbit Couplings Flex Grip 2 L EPDM/316SS PN9","560.0mm","Flex Grip 2 L (OCFG2-L)","https://www.youtube.com/watch?v=-Oc5JZAjJH0"
"n1k_8GcsHHY","219.1mm Open Flex 200-L to suit pipe OD size of 219.1mm, by Orbit Couplings in Australia. Length 200","219.1mm","Open Flex 200-L (OCOF200-L)","https://www.youtube.com/watch?v=n1k_8GcsHHY"
"30rA2apzZFM","Orbit Couplings Open Flex 300-L model to suit 220.0mm OD pipe 20 bar rated, 30 Bar test pressure.","220.0mm","Open Flex 300-L (OCOF300-L)","https://www.youtube.com/watch?v=30rA2apzZFM"
"SJ5Ibk-muM8","Orbit Universal Dual Clamp - Ductile Iron pipe repair clamp - Heavy Duty","","Universal Dual Clamp (UDC)","https://www.youtube.com/watch?v=SJ5Ibk-muM8"
"Xm0wXH11nrE","500.0mm Open Flex 400-L. To suit pipe OD size 500.0mm and with a clamp length of 400mm. Orbit C","500.0mm","Open Flex 400-L (OCOF400-L)","https://www.youtube.com/watch?v=Xm0wXH11nrE"
"e_NDojKLRak","180.3mm Orbit Flex Grip 2 S rated PN16. Pipe couplings and clamps By Orbit Couplings in Australia","180.3mm","Flex Grip 2 S (OCFG2-S)","https://www.youtube.com/watch?v=e_NDojKLRak"
"MbtPXwtJE50","Orbit Couplings Flex Grip 2 S 231.1mm","231.1mm","Flex Grip 2 S (OCFG2-S)","https://www.youtube.com/watch?v=MbtPXwtJE50"
"0fuVelXmUMQ","Orbit Flex Grip 2 S 355.6mm pipe coupling ~ Orbit Pipe Couplings and Clamps Australia","355.6mm","Flex Grip 2 S (OCFG2-S)","https://www.youtube.com/watch?v=0fuVelXmUMQ"
"HcHSWrGxwDU","Orbit Repair Clamp size 48.3mm x 100mm wide | Orbit Couplings Australia","48.3mm","Orbit Repair Clamp 100mm (OCRC100wide)","https://www.youtube.com/watch?v=HcHSWrGxwDU"
"qMP7I46zaKE","Orbit Repair Clamp 2 | Double Casing size 323.9mm x 300mm wide","323.9mm","Orbit Repair Clamp 300mm (OCRC300)","https://www.youtube.com/watch?v=qMP7I46zaKE"
"KHisoComvno","114.3mm Metal Lock L - Orbit Couplings","114.3mm","Metal Lock L (OCML-L)","https://www.youtube.com/watch?v=KHisoComvno"
"cMtEdPqz0kY","Flex Grip Open L - Orbit Couplings","","Flex Grip Open L (OCFGO-L)","https://www.youtube.com/watch?v=cMtEdPqz0kY"
"7Odvbmgc7Jg","Encapsulating Pipe Repair Clamp | Orbit Couplings Australia","","Encapsulating Pipe Repair Clamp (ENCAPRC-SS)","https://www.youtube.com/watch?v=7Odvbmgc7Jg"
"K39yAsBdb5g","315.0mm Flex Grip Open L | Orbit Couplings","315.0mm","Flex Grip Open L (OCFGO-L)","https://www.youtube.com/watch?v=K39yAsBdb5g"
"xIQ1-8v516o","280.0mm Flex Grip Open L | Orbit Couplings","280.0mm","Flex Grip Open L (OCFGO-L)","https://www.youtube.com/watch?v=xIQ1-8v516o"
"K5BVQGjFjpU","250.0mm Flex Grip Open L | Orbit Couplings","250.0mm","Flex Grip Open L (OCFGO-L)","https://www.youtube.com/watch?v=K5BVQGjFjpU"
"XYFkJc8yXaA","225.0mm Flex Grip Open L | Orbit Couplings","225.0mm","Flex Grip Open L (OCFGO-L)","https://www.youtube.com/watch?v=XYFkJc8yXaA"
"pkgr_q1fIbE","110.0mm Flex Grip Open L | Orbit Couplings","110.0mm","Flex Grip Open L (OCFGO-L)","https://www.youtube.com/watch?v=pkgr_q1fIbE"
"44VzKWjSGJ8","90.0mm Flex Grip Open L | Orbit Couplings","90.0mm","Flex Grip Open L (OCFGO-L)","https://www.youtube.com/watch?v=44VzKWjSGJ8"
"JLBKSYGCB-E","160.0mm Flex Grip Open L | Orbit Couplings","160.0mm","Flex Grip Open L (OCFGO-L)","https://www.youtube.com/watch?v=JLBKSYGCB-E"
