Product SKU,Product Name,Size,Price,Variation SKU,Calculation Method
D-SERIESENCAP,D - Series Encapsulating Clamp,88.9mm,643.50,D-SERIESENCAP_88.9,OCRC price × 2.11
D-SERIESENCAP,D - Series Encapsulating Clamp,114.3mm,684.00,D-SERIESENCAP_114.3,OCRC price × 2.11
D-SERIESENCAP,D - Series Encapsulating Clamp,168.3mm,870.00,D-SERIESENCAP_168.3,OCRC price × 2.11
D-SERIESENCAP,D - Series Encapsulating Clamp,219.1mm,1093.00,D-SERIESENCAP_219.1,OCRC price × 2.11
OCOF200-L,Open Flex 200-L,154.0mm,878.00,OCOF200-L_154.0,OCOF400-L price × 0.32
OCOF200-L,Open Flex 200-L,200.0mm,1648.00,OCOF200-L_200.0,OCOF400-L price × 0.32
OCOF200-L,Open Flex 200-L,204.0mm,1664.00,OCOF200-L_204.0,OCOF400-L price × 0.32
OCOF200-L,Open Flex 200-L,206.0mm,1664.00,OCOF200-L_206.0,OCOF400-L price × 0.32
OCOF200-L,Open Flex 200-L,219.1mm,1688.00,OCOF200-L_219.1,OCOF400-L price × 0.32
OCOF200-L,Open Flex 200-L,225.0mm,1728.00,OCOF200-L_225.0,OCOF400-L price × 0.32
OCOF200-L,Open Flex 200-L,231.1mm,1760.00,OCOF200-L_231.1,OCOF400-L price × 0.32
OCOF200-L,Open Flex 200-L,232.0mm,1760.00,OCOF200-L_232.0,OCOF400-L price × 0.32
OCOF200-L,Open Flex 200-L,243.0mm,1792.00,OCOF200-L_243.0,OCOF400-L price × 0.32
OCOF200-L,Open Flex 200-L,244.5mm,1792.00,OCOF200-L_244.5,OCOF400-L price × 0.32
OCOF200-L,Open Flex 200-L,250.0mm,1800.00,OCOF200-L_250.0,OCOF400-L price × 0.32
OCOF200-L,Open Flex 200-L,254.0mm,1808.00,OCOF200-L_254.0,OCOF400-L price × 0.32
OCOF200-L,Open Flex 200-L,256.0mm,1808.00,OCOF200-L_256.0,OCOF400-L price × 0.32
OCOF200-L,Open Flex 200-L,259.0mm,1824.00,OCOF200-L_259.0,OCOF400-L price × 0.32
OCOF200-L,Open Flex 200-L,267.0mm,1840.00,OCOF200-L_267.0,OCOF400-L price × 0.32
OCOF200-L,Open Flex 200-L,273.0mm,1856.00,OCOF200-L_273.0,OCOF400-L price × 0.32
OCOF200-L,Open Flex 200-L,280.0mm,1872.00,OCOF200-L_280.0,OCOF400-L price × 0.32
OCOF200-L,Open Flex 200-L,285.0mm,1888.00,OCOF200-L_285.0,OCOF400-L price × 0.32
